Name,Coef.,Std. Error,t,Pr(>|t|),Lower 95%,Upper 95%
(Intercept),82088.10177602572,12986.635189906241,6.320967716089234,2.618383392705071e-10,56634.226337375076,107541.97721467637
month: 2,18591.400176346353,4710.064001755774,3.947165085106279,7.91764402621754e-5,9359.64917575253,27823.151176940177
month: 3,33875.98372579695,4652.875558307818,7.280655435821959,3.3645563317503514e-13,24756.322384669806,42995.64506692409
month: 4,49765.239655995945,4534.4243475245075,10.974985101066784,5.376328452598619e-28,40877.74333072904,58652.73598126285
month: 5,59217.479914571035,4485.036690424917,13.203343473419993,9.595693686491993e-40,50426.783665200375,68008.1761639417
month: 6,67515.98200407876,4437.6474712978115,15.21436356555231,3.59331558938329e-52,58818.168881334605,76213.79512682292
area,11742.13576113338,390.9120055444028,30.03779775139093,1.0712857722056607e-196,10975.946109149156,12508.325413117605
type: blockOfFlats,-166113.78963047956,4097.448251339021,-40.54079013107599,0.0,-174144.8104361586,-158082.76882480053
type: tenement,-82014.47428639693,4627.040454406707,-17.725039384146267,4.140238378827445e-70,-91083.49868369472,-72945.44988909914
rooms: 2,-2565.598237468905,6584.604487560239,-0.389635891163377,0.6968072577696203,-15471.458761633552,10340.262286695743
rooms: 3,-22771.462754729615,8239.500989727112,-2.763694401289682,0.0057169297361587676,-38920.92940273105,-6621.9961067281765
rooms: 4,-30959.680261305195,9640.177569139314,-3.2115259329262864,0.0013210498250411317,-49854.48060512834,-12064.879917482056
rooms: 5,-83695.9572077466,12411.085338628201,-6.743645291621008,1.5592334493737404e-11,-108021.75181491661,-59370.16260057659
rooms: 6,-57183.835136047914,17570.28921242053,-3.2545756330308078,0.001136278040180877,-91621.69733006926,-22745.972942026572
centredistance,21997.437975913377,616.5146220131442,35.68031834197825,8.633371086623822e-276,20789.065971514086,23205.809980312668
schooldistance,17620.028870889266,6107.673673810412,2.884900178351639,0.003916838751061576,5648.955329535833,29591.102412242697
clinicdistance,-54751.59521881967,2118.251615076711,-25.847540881887575,1.8045405218267439e-146,-58903.37987815854,-50599.81055948079
postofficedistance,-2479.9731768101606,5161.662656226995,-0.4804601427833215,0.6309020737269689,-12596.859990574976,7636.913636954654
kindergartendistance,22339.890783937422,6280.668540449589,3.556928795089426,0.00037551865571271593,10029.746365288374,34650.03520258647
restaurantdistance,-239472.94787216582,6203.727795059827,-38.601459603508665,7.8e-322,-251632.28801236482,-227313.60773196683
collegedistance,-29698.744634422186,1620.5985746082963,-18.32578721204939,8.441353598495205e-75,-32875.126634141096,-26522.362634703277
pharmacydistance,132458.9184086385,7316.99165639009,18.102920521025773,4.83580040504505e-73,118117.5750595809,146800.2617576961
ownership: cooperative,-9182.301129055248,4725.1889303709095,-1.9432664522759033,0.05198886773367535,-18443.697071803705,79.09481369321111
ownership: udziaÃÂ,-19855.775767077244,107669.11671802393,-0.18441477344964013,0.8536887342860797,-230887.82875492325,191176.27722076874
buildingmaterial: concreteSlab,-91652.29639445215,4238.721136723026,-21.622629429523865,2.855032263180285e-103,-99960.21282204085,-83344.37996686345
hasparkingspace,-7619.761759131682,2881.869273858693,-2.644034491172171,0.008194664198925679,-13268.24117312863,-1971.282345134733
hasbalcony,6697.188020835465,2830.067750621271,2.3664408809171666,0.017963351939380316,1150.239873462725,12244.136168208206
haselevator,203424.45095655022,3196.450840338631,63.640725641505405,0.0,197159.38996530997,209689.51194779048
hassecurity,3657.3785340621603,3896.7887102827735,0.9385621869646507,0.34795953448257777,-3980.3484823532394,11295.10555047756
hasstorageroom,-9095.082775522556,2971.531825165305,-3.0607388076742548,0.0022089381222533968,-14919.301276596041,-3270.8642744490726
area2,15.525168298994327,2.4954035376893975,6.22150608689517,4.958017636879228e-10,10.634163824880607,20.416172773108045
end_0,26904.709537492574,5787.165633508393,4.649030499785773,3.342418165770871e-6,15561.833494231218,38247.585580753934
end_1,-8758.2225997955,6247.013922548576,-1.4019854459076397,0.1609250150296951,-21002.403784746137,3485.95858515514
end_2,11000.042543474234,6010.872462895202,1.8300242787343959,0.06725150560661995,-781.3000992349225,22781.38518618339
end_3,46070.9639786147,6058.890090532033,7.603861976405185,2.917920667031362e-14,34195.50652519019,57946.42143203921
end_4,14422.298580797258,6021.085899316172,2.3952985926401134,0.016610027711362465,2620.9375472841457,26223.65961431037
end_5,19831.519453276305,5990.159210735713,3.310683198158366,0.0009312603009072426,8090.774897191372,31572.26400936124
end_6,6817.716040939918,5883.54488900377,1.1587769226817826,0.24655196032099977,-4714.063866053283,18349.49594793312
end_7,18818.980996845617,5919.191120172856,3.1793163313665826,0.0014770145900677909,7217.334283341945,30420.62771034929
end_8,3459.9469351043304,5761.27992719614,0.600551783427783,0.5481409382837019,-7832.192983327273,14752.086853535933
