,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
Intercept,94918.25534012058,12724.897527396506,7.459254986986187,8.819694944221353e-14,69977.40521761839,119859.10546262277
month[T.2],18404.50969876701,4626.123736365481,3.9783868196371537,6.946683815105604e-05,9337.288645832707,27471.730751701318
month[T.3],33748.33855776795,4572.19140841201,7.381217351416452,1.588957877631046e-13,24786.82508364512,42709.85203189078
month[T.4],49606.03620823302,4459.460142971538,11.123776111423725,1.0262467516247976e-28,40865.47646591175,58346.595950554285
month[T.5],58982.613448707794,4409.0849585062,13.377518011966622,9.378473201422372e-41,50340.789269713336,67624.43762770225
month[T.6],67175.63432163202,4365.971200339621,15.386183563557761,2.5701624997890044e-53,58618.313281333605,75732.95536193045
type[T.blockOfFlats],-167419.98297419207,4067.771413573836,-41.1576674184603,0.0,-175392.8312380084,-159447.13471037574
type[T.tenement],-86217.25416167699,4548.496230017156,-18.955111712019992,6.91247038395399e-80,-95132.32499123631,-77302.18333211767
rooms[T.2],208.61154360234983,6444.361848520444,0.03237117165452849,0.9741761611098065,-12422.363491998129,12839.586579202829
rooms[T.3],-16028.399562341046,8072.9905122967175,-1.985435203711278,0.04710067263247682,-31851.493302316325,-205.3058223657663
rooms[T.4],-22953.526284730717,9453.168059189265,-2.4281305633213597,0.015179833866214042,-41481.77354483282,-4425.279024628613
rooms[T.5],-79725.52380362495,12154.742859171602,-6.559211060846629,5.4536511521596076e-11,-103548.8684926864,-55902.17911456351
rooms[T.6],-42421.36047527485,17201.26270048524,-2.4661771181529692,0.013659187428470727,-76135.90426684008,-8706.816683709621
ownership[T.cooperative],-7514.416631170777,4645.221321287359,-1.6176660080188083,0.10573991607053795,-16619.069027046182,1590.2357647046274
ownership[T.udziaÃÂ],-12902.271525324446,107736.71379182415,-0.119757425962101,0.9046757141562229,-224066.66209017055,198262.11903952167
buildingmaterial[T.concreteSlab],-93957.5845313438,4155.289989768594,-22.61155894358561,1.0025197880860867e-112,-102101.9695550522,-85813.1995076354
area,11267.097904181695,383.3605289832461,29.390344212181784,1.6586968798401147e-188,10515.709731847193,12018.486076516197
centredistance,22420.40836725027,610.6486106666092,36.7157281218985,7.87643899000339e-292,21223.534644427753,23617.28209007279
schooldistance,19696.075520732153,6045.547973234121,3.2579471055285594,0.0011228443941603606,7846.777278117648,31545.37376334666
clinicdistance,-54094.35720572688,2088.297994442551,-25.903562302738692,4.0202806156712064e-147,-58187.429639385206,-50001.28477206856
postofficedistance,-2338.1348342795823,5095.885604146139,-0.45882796748365345,0.6463593915988471,-12326.091029666637,7649.821361107472
kindergartendistance,24413.70323813023,6211.921559558579,3.9301370765964845,8.499373810516403e-05,12238.312099920482,36589.09437633998
restaurantdistance,-241244.16191400532,6134.182808946352,-39.3278403053402,0.0,-253267.18478963725,-229221.1390383734
collegedistance,-30399.342916091104,1602.228230128592,-18.97316645934475,4.913851522748437e-80,-33539.71666477111,-27258.969167411095
pharmacydistance,128581.26793869284,7243.825978800111,17.75046340359372,2.6012386878220614e-70,114383.34000553914,142779.19587184655
hasparkingspace,-5947.974958519339,2850.282603987417,-2.086801831579223,0.036910313368825956,-11534.540278968721,-361.4096380699566
hasbalcony,8690.535084022771,2789.0552199338977,3.1159422810670425,0.0018344567432184767,3223.975681560859,14157.094486484682
haselevator,204294.26187884941,3136.837411054641,65.12746282573929,0.0,198146.04798877038,210442.47576892845
hassecurity,5056.970242388711,3895.141016652659,1.2982765503916174,0.1941973724015955,-2577.5217520015267,12691.462236778949
hasstorageroom,-4961.32451010093,2868.63599800963,-1.7295064670258924,0.08372369589245145,-10583.862556347256,661.2135361453966
area2,17.15368823890187,2.4488115541563804,7.004903341699294,2.4977997842802e-12,12.354007784189253,21.95336869361449
end_0,25147.11583875388,5698.388450920363,4.413022393145609,1.0211706470008449e-05,13978.251650400749,36315.98002710701
end_1,-8162.5305937420235,6157.490558367974,-1.3256261648098215,0.18496866374291251,-20231.236751598113,3906.175564114066
end_2,9140.968139965385,5909.580582408839,1.5468048895340354,0.12191563926116623,-2441.833472022432,20723.7697519532
end_3,46893.232349888385,5967.242541733047,7.858442491977096,3.954455148735822e-15,35197.41306666364,58589.05163311313
end_4,13851.534654873602,5916.814773863433,2.34104584717786,0.019233101251772473,2254.5539986586646,25448.515311088537
end_5,20872.143155843518,5892.544161471474,3.5421275740819174,0.00039721805857224565,9322.732997131288,32421.55331455575
end_6,5388.570388640429,5799.127817938867,0.9292035902315464,0.3527873709506757,-5977.743362574397,16754.884139855254
end_7,18043.98713275346,5824.756586495606,3.09780964488499,0.0019504769079234376,6627.44089251295,29460.53337299397
end_8,2761.6736343760795,5669.524713311454,0.4871084921619544,0.6261832498452893,-8350.617512651643,13873.964781403803
