features,R_squared,adjusted_R_squared,out_of_sample_R_squared,out_of_sample_adjusted_R_squared
1,0.8006582779684992,0.8002587955596184,0.7922712158337438,0.7905959837033708
2,0.9762303006937317,0.9761587770248061,0.9779373368881249,0.9776693693199645
3,0.9942326485397929,0.9941978355531116,0.9950482677563236,0.9949265038486922
4,0.9951973221950382,0.9951439051517069,0.9959988839332009,0.9958147321476997
5,0.995223565926188,0.9951211092198038,0.996052119225667,0.9956900864909028
6,0.9952242480871927,0.994967595455419,0.9960391324989158,0.9950240358026581
7,0.9952259614382001,0.9946896122783093,0.9960427484343852,0.9933603161650759
8,0.9952259690722275,0.9940249925810106,0.9960402740301231,0.9797973164802198
9,0.9952285733634773,0.9904380227724996,0.9960450557360994,1.0039391875138453
10,0.9952339063624721,5.766093637527857,0.9960337589426033,1.0013203199258978
