"R2_train","R2_adj_train","R2_test","p","diferencia"
0.514291690757909,0.513863596732989,NA,1,0.000428094024920389
0.626000738769452,0.625280157484514,NA,2,0.000720581284938016
0.689900613091385,0.688395624907452,NA,5,0.00150498818393385
0.663237087949063,0.659878831463561,NA,10,0.00335825648550159
0.661073957663841,0.654174212685664,NA,20,0.00689974497817691
0.690090864775968,0.674691120405852,NA,50,0.0153997443701166
0.707665705261352,0.675197696986436,NA,100,0.032468008274916
0.746207378615783,0.68284482609442,NA,200,0.0633625525213628
0.830699250787144,0.662491326473175,NA,500,0.168207924313969
1,NA,-57721.5967547861,1000,NA
